order_id,order_date,product_id,quantity,sales,city
1,23-08-2026,100,1,10000,Bangalore
2,23-08-2026,200,2,30000,Mumbai
3,23-08-2026,200,2,30000,Mumbai
4,23-08-2026,500,3,30000,Bangalore
5,23-08-2026,300,2,10000,Bangalore
6,23-08-2026,400,1,2000,Mumbai
7,23-08-2026,500,2,20000,Mysore
8,25-08-2026,600,3,9000,Bangalore
9,23-08-2026,300,1,5000,Bangalore
10,23-08-2026,300,2,10000,Mumbai
11,23-08-2026,100,3,30000,Mumbai
12,24-08-2026,400,5,10000,Bangalore
13,23-08-2026,400,1,2000,Hyderabad
14,23-08-2026,200,2,30000,Mumbai
15,23-08-2026,700,1,4000,Bangalore
16,23-08-2026,100,,10000,Bangalore
17,22-08-2026,,2,6000,Mumbai
18,23-08-2026,400,15,30000,Mumbai
,20-08-2026,500,2,20000,Bangalore
20,23-08-2026,200,1,15000,Mumbai
21,,300,3,15000,Bangalore
